label:termLabel;language;term;confidence
deportees;Detainees;en;http://data.ehri-project.eu/vocabularies/ehri-terms/618;16.666666666666664
deportees;Morte;it;http://data.ehri-project.eu/vocabularies/ehri-terms/745;16.666666666666664
deportees;Sepolture;it;http://data.ehri-project.eu/vocabularies/ehri-terms/746;16.666666666666664
deportees;Kloosters;nl;http://data.ehri-project.eu/vocabularies/ehri-terms/728;16.666666666666664
deportees;Newsreels;en;http://data.ehri-project.eu/vocabularies/ehri-terms/851;16.666666666666664
deportees;Informers;en;http://data.ehri-project.eu/vocabularies/ehri-terms/224;16.666666666666664
deportees;Refugees;en;http://data.ehri-project.eu/vocabularies/ehri-terms/304;16.666666666666664
deportees;Ressorts;en;http://data.ehri-project.eu/vocabularies/ehri-terms/549;16.666666666666664
deportees;resorty;pl;http://data.ehri-project.eu/vocabularies/ehri-terms/549;16.666666666666664
deportees;docteur;fr;http://data.ehri-project.eu/vocabularies/ehri-terms/287;16.666666666666664
deportees;Revolte;de;http://data.ehri-project.eu/vocabularies/ehri-terms/254;16.666666666666664
deportees;Minorities;en;http://data.ehri-project.eu/vocabularies/ehri-terms/1062;16.666666666666664
deportees;Letters;en;http://data.ehri-project.eu/vocabularies/ehri-terms/843;16.666666666666664
deportees;Posters;en;http://data.ehri-project.eu/vocabularies/ehri-terms/845;16.666666666666664
deportees;poster;sh;http://data.ehri-project.eu/vocabularies/ehri-terms/845;16.666666666666664
deportees;poster;fr;http://data.ehri-project.eu/vocabularies/ehri-terms/845;16.666666666666664
deportees;Bordeel;nl;http://data.ehri-project.eu/vocabularies/ehri-terms/839;16.666666666666664
deportees;sport;sh;http://data.ehri-project.eu/vocabularies/ehri-terms/709;16.666666666666664
deportees;sport;fr;http://data.ehri-project.eu/vocabularies/ehri-terms/709;16.666666666666664
deportees;sport;pl;http://data.ehri-project.eu/vocabularies/ehri-terms/709;16.666666666666664
deportees;sport;ru-Latn;http://data.ehri-project.eu/vocabularies/ehri-terms/709;16.666666666666664
deportees;Sportok;hu;http://data.ehri-project.eu/vocabularies/ehri-terms/709;16.666666666666664
deportees;Sport;de;http://data.ehri-project.eu/vocabularies/ehri-terms/709;16.666666666666664
deportees;Sport;it;http://data.ehri-project.eu/vocabularies/ehri-terms/709;16.666666666666664
deportees;Sport;nl;http://data.ehri-project.eu/vocabularies/ehri-terms/709;16.666666666666664
deportees;sporty;cs;http://data.ehri-project.eu/vocabularies/ehri-terms/709;16.666666666666664
deportees;porez;sh;http://data.ehri-project.eu/vocabularies/ehri-terms/1153;16.666666666666664
deportees;Gіpoteza;uk-Latn;http://data.ehri-project.eu/vocabularies/ehri-terms/913;16.666666666666664
deportees;Workers;en;http://data.ehri-project.eu/vocabularies/ehri-terms/1057;16.666666666666664
deportees;Werkers;nl;http://data.ehri-project.eu/vocabularies/ehri-terms/1057;16.666666666666664
deportees;Laborers;en;http://data.ehri-project.eu/vocabularies/ehri-terms/1057;16.666666666666664
Auschwitz;Archivi;it;http://data.ehri-project.eu/vocabularies/ehri-terms/786;16.666666666666664
Auschwitz;Archiv;de;http://data.ehri-project.eu/vocabularies/ehri-terms/786;16.666666666666664
Auschwitz;yeschiva;fr;http://data.ehri-project.eu/vocabularies/ehri-terms/761;16.666666666666664
Auschwitz;Ausschluss;de;http://data.ehri-project.eu/vocabularies/ehri-terms/628;16.666666666666664
Auschwitz;Ausschuss;de;http://data.ehri-project.eu/vocabularies/ehri-terms/996;16.666666666666664
Auschwitz;Mischling;de;http://data.ehri-project.eu/vocabularies/ehri-terms/374;16.666666666666664
Auschwitz;Aushang;de;http://data.ehri-project.eu/vocabularies/ehri-terms/845;16.666666666666664
Auschwitz;Anschlag;de;http://data.ehri-project.eu/vocabularies/ehri-terms/845;16.666666666666664
Auschwitz;Furcht;de;http://data.ehri-project.eu/vocabularies/ehri-terms/829;16.666666666666664
Auschwitz;Besitz;de;http://data.ehri-project.eu/vocabularies/ehri-terms/945;16.666666666666664
Auschwitz;Geschäft;de;http://data.ehri-project.eu/vocabularies/ehri-terms/924;16.666666666666664
Auschwitz;Ausgleich;de;http://data.ehri-project.eu/vocabularies/ehri-terms/1043;16.666666666666664
Auschwitz;Zuschauer;de;http://data.ehri-project.eu/vocabularies/ehri-terms/193;16.666666666666664
Auschwitz;KZ Auschwitz I;en;http://data.ehri-project.eu/vocabularies/ehri-camps/1;16.666666666666664
Auschwitz; Monowitz;en;http://data.ehri-project.eu/vocabularies/ehri-camps/3;16.666666666666664
